Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
llava_13b,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
llava_13b,0.0,Revestimento Interno,0.0400,0.0763,0.8200,0.0400
llava_13b,0.0,Acabamento Interno,0.0200,0.0391,0.9000,0.0200
llava_13b,0.0,Revestimento Externo,0.0000,0.0000,0.0000,0.0000
llava_13b,0.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
llava_13b,0.0,Cobertura,1.0000,1.0000,1.0000,1.0000
llava_13b,0.5,Estrutura,0.9800,0.9899,1.0000,0.9800
llava_13b,0.5,Esquadrias,0.8800,0.8426,0.8082,0.8800
llava_13b,0.5,Piso,0.1000,0.0261,0.0150,0.1000
llava_13b,0.5,Forro,0.0000,0.0000,0.0000,0.0000
llava_13b,0.5,Instalação Elétrica,0.9800,0.9899,1.0000,0.9800
llava_13b,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
llava_13b,0.5,Revestimento Interno,0.1000,0.1708,0.5857,0.1000
llava_13b,0.5,Acabamento Interno,0.0000,0.0000,0.0000,0.0000
llava_13b,0.5,Revestimento Externo,0.0000,0.0000,0.0000,0.0000
llava_13b,0.5,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
llava_13b,0.5,Cobertura,0.9400,0.9691,1.0000,0.9400
llava_13b,1.0,Estrutura,0.8600,0.9247,1.0000,0.8600
llava_13b,1.0,Esquadrias,0.7400,0.7744,0.8122,0.7400
llava_13b,1.0,Piso,0.0800,0.0631,0.4557,0.0800
llava_13b,1.0,Forro,0.0000,0.0000,0.0000,0.0000
llava_13b,1.0,Instalação Elétrica,0.8400,0.9130,1.0000,0.8400
llava_13b,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
llava_13b,1.0,Revestimento Interno,0.0600,0.1070,0.4920,0.0600
llava_13b,1.0,Acabamento Interno,0.0200,0.0383,0.4500,0.0200
llava_13b,1.0,Revestimento Externo,0.0000,0.0000,0.0000,0.0000
llava_13b,1.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
llava_13b,1.0,Cobertura,0.6400,0.7805,1.0000,0.6400
llava_7b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
llava_7b,0.0,Esquadrias,0.9000,0.8526,0.8100,0.9000
llava_7b,0.0,Piso,0.1200,0.0257,0.0144,0.1200
llava_7b,0.0,Forro,0.0000,0.0000,0.0000,0.0000
llava_7b,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
llava_7b,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
llava_7b,0.0,Revestimento Interno,0.8200,0.7389,0.6724,0.8200
llava_7b,0.0,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
llava_7b,0.0,Revestimento Externo,0.1200,0.0257,0.0144,0.1200
llava_7b,0.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
llava_7b,0.0,Cobertura,1.0000,1.0000,1.0000,1.0000
llava_7b,0.5,Estrutura,1.0000,1.0000,1.0000,1.0000
llava_7b,0.5,Esquadrias,0.7600,0.7773,0.7953,0.7600
llava_7b,0.5,Piso,0.1200,0.0343,0.0200,0.1200
llava_7b,0.5,Forro,0.0000,0.0000,0.0000,0.0000
llava_7b,0.5,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
llava_7b,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
